source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
M2-SIGLEC8+,MRC1+ M2-like,TGFB1,ACVR1_TGFbR,0.000903583375159656,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
MRC1+ M2-like,MRC1+ M2-like,TGFB1,ACVR1_TGFbR,0.00296340913624806,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Regulatory,MRC1+ M2-like,TGFB1,ACVR1_TGFbR,0.00529942868494839,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Resident M2,MRC1+ M2-like,TGFB1,ACVR1_TGFbR,0.000698955390865413,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
SPP1+ immunosuppressive,MRC1+ M2-like,TGFB1,ACVR1_TGFbR,0.00459049525291899,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
IFN-stimulated,Regulatory,TGFB1,ACVR1_TGFbR,0.00490021543725111,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Lipid-associated,Regulatory,TGFB1,ACVR1_TGFbR,0.00511378631438739,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
M2-SIGLEC8+,Regulatory,TGFB1,ACVR1_TGFbR,0.00131810643804955,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
MRC1+ M2-like,Regulatory,TGFB1,ACVR1_TGFbR,0.00431880205470989,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Regulatory,Regulatory,TGFB1,ACVR1_TGFbR,0.00771499392658673,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Resident M2,Regulatory,TGFB1,ACVR1_TGFbR,0.00101970022713527,0.01,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
SPP1+ immunosuppressive,Regulatory,TGFB1,ACVR1_TGFbR,0.00668508892960935,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
Ciliated,IFN-stimulated,GDF15,TGFBR2,0.000589721277624442,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
Ciliated,Lipid-associated,GDF15,TGFBR2,0.00146767536322308,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
Ciliated,M2-SIGLEC8+,GDF15,TGFBR2,0.00205044136309285,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
Ciliated,MRC1+ M2-like,GDF15,TGFBR2,0.00163418954495534,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
Ciliated,Regulatory,GDF15,TGFBR2,0.00192311863432825,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
Ciliated,Resident M2,GDF15,TGFBR2,0.00118897172327421,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
Ciliated,SPP1+ immunosuppressive,GDF15,TGFBR2,0.00181814984328194,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,Ciliated,INHBA,ACVR1B_ACVR2A,0.0065514039743749,0,INHBA_ACVR1B_ACVR2A,INHBA - (ACVR1B+ACVR2A),ACTIVIN,Secreted Signaling,KEGG: hsa04350
MRC1+ M2-like,tumor_MPR,INHBA,ACVR1B_ACVR2A,0.00263780558005801,0,INHBA_ACVR1B_ACVR2A,INHBA - (ACVR1B+ACVR2A),ACTIVIN,Secreted Signaling,KEGG: hsa04350
Ciliated,Ciliated,INHBB,ACVR1B_ACVR2A,0.00660579757511127,0,INHBB_ACVR1B_ACVR2A,INHBB - (ACVR1B+ACVR2A),ACTIVIN,Secreted Signaling,KEGG: hsa04352
tumor_MPR,Ciliated,INHBB,ACVR1B_ACVR2A,0.00108495840473166,0,INHBB_ACVR1B_ACVR2A,INHBB - (ACVR1B+ACVR2A),ACTIVIN,Secreted Signaling,KEGG: hsa04352
