tam_state,signature,p_value,median_MPR,median_nonMPR,p_adj
Proliferating,HALLMARK_HEDGEHOG_SIGNALING,0.40235069,0.03121836,0.025921551,0.462392545
Proliferating,HALLMARK_ANGIOGENESIS,0.574928774,0.077961525,0.079311509,0.62492258
Proliferating,HALLMARK_HYPOXIA,0.566870578,0.122390139,0.125305466,0.62492258
Proliferating,HALLMARK_SPERMATOGENESIS,0.711376988,0.01443203,0.014856197,0.75678403
Proliferating,HALLMARK_MITOTIC_SPINDLE,0.735274062,0.063129935,0.062462312,0.765910481
Proliferating,HALLMARK_HEME_METABOLISM,0.770891737,0.046182565,0.045698464,0.786624221
Proliferating,HALLMARK_MYOGENESIS,0.999789728,0.03920686,0.038304752,0.999789728
Resident M2,HALLMARK_MTORC1_SIGNALING,3.83E-44,0.113024294,0.142302608,1.91E-42
Resident M2,HALLMARK_INTERFERON_ALPHA_RESPONSE,2.72E-42,0.098328916,0.141729486,6.81E-41
Resident M2,HALLMARK_FATTY_ACID_METABOLISM,1.31E-40,0.05376071,0.071951622,2.18E-39
Resident M2,HALLMARK_COMPLEMENT,6.26E-39,0.12007324,0.145096463,7.83E-38
